,날짜,신문사,제목,분야
78,2024.04.02. 오후 6:43,한국경제,中 '알·테·쉬' 공습…韓 e커머스 스타트업 '눈물의 줄폐업',경제
79,2024.04.02. 오후 6:38,이데일리,"LG U+, GS25와 다이렉트 인터넷 요금제 저변 확대나서",IT
80,2024.04.02. 오후 6:37,동아일보,"정부, 부처별 흩어져있던 EU 탄소국경세 대응 ‘원팀’으로…환경부-산업부 상담창구 일원화",경제
81,2024.04.02. 오후 6:37,이데일리,"한화, 호주 방산업체 '오스탈' 9000억에 인수 추진",경제
82,2024.04.02. 오후 6:35,한국경제,'민노총 탈퇴 강요' 의혹…허영인 SPC 회장 체포,사회
83,2024.04.02. 오후 6:34,한국경제,"[단독] 한미약품 형제, KKR과 손잡고 '경영권 굳히기'",경제
84,2024.04.02. 오후 6:33,한국경제,"AI 열풍이 살려낸 델…월가 80% ""담아라""",경제
85,2024.04.02. 오후 6:33,조선비즈,"공정위, ‘돼지고기 가격 담합’ 목우촌·도드람 등 6개사 현장 조사",경제
86,2024.04.02. 오후 6:32,파이낸셜뉴스,‘BMA 데이’에 부산 마이스업계 뭉쳤다,경제
87,2024.04.02. 오후 6:32,파이낸셜뉴스,"대선주조, 지역상생 유공 ‘사회공헌대상’",경제
88,2024.04.02. 오후 6:32,한국경제,"""물가 정점""이라는데…상승 요인 줄줄이 대기",경제
89,2024.04.02. 오후 6:31,파이낸셜뉴스,"라온시큐어, 통합인증 '옴니원 CX' 저변 확대",IT
90,2024.04.02. 오후 6:31,파이낸셜뉴스,"SKT, 산불진화 긴급 통신망 구축",IT
91,2024.04.02. 오후 6:31,한국경제,"""의약분업때 의대정원 축소 2000명은 증원 아닌 복원""",경제
92,2024.04.02. 오후 6:31,파이낸셜뉴스,트위치 철수 한달 만에… 치지직 '스트리밍' 선두 꿰찼다,IT
93,2024.04.02. 오후 6:31,한국경제,미쓰비시重·스즈키車 액면분할…日 신고가 행진 이끈다,경제
94,2024.04.02. 오후 6:30,한국경제,"황금과일에 유가도 '들썩'…물가, 두 달째 3%대 상승",경제
95,2024.04.02. 오후 6:30,한국경제,'제조업 경기확장' 신호에…치솟은 美 10년물 금리,경제
96,2024.04.02. 오후 6:30,한국경제,엔비디아 뒤이어 '주니어 사무라이' 뜬다,경제
