,날짜,신문사,제목,분야
833,2024.04.02. 오전 11:17,한국경제TV,"금호건설, '대웅제약 마곡연구소 신축공사' 수주",경제
834,2024.04.02. 오전 11:17,한국경제TV,"LH, 청년·신혼 등 매입임대주택 3천가구 공급",경제
835,2024.04.02. 오전 11:17,한국경제,"[속보] 尹 ""긴급 농축산물 가격안정자금 무제한·무기한 투입""",경제
836,2024.04.02. 오전 11:17,한국경제TV,"HDC현대산업개발, '대구 범어 아이파크' 5일 분양",경제
837,2024.04.02. 오전 11:17,조선비즈,"무신사스탠다드, 롯데몰 수원 사흘간 방문객 3만 명·매출 2.1억",경제
838,2024.04.02. 오전 11:17,매일경제,"신한카드 마이샵 파트너, 소상공인 지원사업 조회 서비스 오픈",경제
839,2024.04.02. 오전 11:16,한국경제TV,"""구글 AI 과소 평가됐다...올해 30% 급등 가능""",경제
840,2024.04.02. 오전 11:16,조선비즈,"키움증권, ‘국고채 19-6’ 장외 판매… “연 3.24% 수익률”",경제
841,2024.04.02. 오전 11:16,한국경제,물가 2개월 연속 3%대 상승…과일값 고공행진에 유가 '들썩' [통계 인사이드],경제
842,2024.04.02. 오전 11:16,이데일리,왕십리 성동지하차도 폐쇄하고 상업시설로 재탄생,경제
843,2024.04.02. 오전 11:15,매일경제,"대학 등록금 너무 비싸...美 Z세대 용접공, 배관공, 전기기사 등 ‘몸쓰는 업종’ 인기",경제
844,2024.04.02. 오전 11:15,TV조선,작년 건설공사 계약액 240조원…18.9% 감소,경제
845,2024.04.02. 오전 11:15,파이낸셜뉴스,"젠큐릭스 ""유방암 예후진단, 상급종합병원 아산병원 등 추가""",경제
846,2024.04.02. 오전 11:15,매일경제,"尹정부, 우리 아파트 로열동 콕 찝어준다더니 슬그머니 없던 일로…신뢰꺾인 공시가 제도 [기자24시]",경제
847,2024.04.02. 오전 11:14,한국경제,"롯데건설, 식목일 앞두고 가족과 친환경 텃밭 조성",경제
848,2024.04.02. 오전 11:14,파이낸셜뉴스,"석유류까지 들썩…갈 길 먼 '2%대 물가', 커지는 내수부담",경제
849,2024.04.02. 오전 11:14,이데일리,"감성코퍼레이션, 자사주 18억원 취득 후 소각 결의",경제
850,2024.04.02. 오전 11:14,파이낸셜뉴스,"에넥스, 중문 최대 64% 할인",경제
851,2024.04.02. 오전 11:14,파이낸셜뉴스,"GRT, 아이폰 글로벌 2대 조립업체 '입신정밀'과 합작",경제
852,2024.04.02. 오전 11:14,이데일리,"신한은행, 신종자본증권 4천억원 발행",경제
853,2024.04.02. 오전 11:14,조선비즈,"롯데면세점, 명동 쇼룸 명칭 '나우인명동'으로 변경",경제
854,2024.04.02. 오전 11:13,한겨레,정용진 회장 첫 인사는 신세계건설 대표 경질,경제
855,2024.04.02. 오전 11:13,파이낸셜뉴스,韓 밸류업보단 美 주식믿는 개인투자자,경제
856,2024.04.02. 오전 11:12,한국경제TV,"""보너스 토해내""…경기침체에 中 금융권 '직격탄'",경제
857,2024.04.02. 오전 11:12,파이낸셜뉴스,"[특징주]동원시스템즈, 차세대 전기차 배터리 캔 글로벌 고객사 단독 공급..3분기 양산 소식에↑",경제
858,2024.04.02. 오전 11:12,조선일보,"7개 공기주머니로 마사지까지… 기아, K9 연식변경 모델 출시",경제
859,2024.04.02. 오전 11:12,매일경제,"삼성전자 파죽지세, 52주 신고가 또 갈아치웠다…“십만전자 가즈아”",경제
860,2024.04.02. 오전 11:12,이데일리,"코스닥, 외국인·기관 동반 '팔자'에 900선 내줘",경제
861,2024.04.02. 오전 11:11,조선비즈,"KCGI운용, 공모주하이일드펀드 출시… “우선 배정 장점”",경제
862,2024.04.02. 오전 11:11,한경비즈니스,"서울시, ‘깜깜이 지역주택조합’ 사업 진행 막는다",경제
863,2024.04.02. 오전 11:10,TV조선,"우리은행, '사고 Zero 서포터즈' 금융사고 예방에 앞장선다",경제
864,2024.04.02. 오전 11:09,조선비즈,"삼성카드, '삼성 아이디 글로벌 카드' 출시",경제
865,2024.04.02. 오전 11:09,한국경제,봄 맞은 수원 분양 시장…회복세 '완연',경제
866,2024.04.02. 오전 11:08,파이낸셜뉴스,"""보증료 캐시백부터 저금리 대환대출까지"" 기업은행, 소상공인·취약계층에 694억원 지원",경제
867,2024.04.02. 오전 11:08,조선비즈,"국토부, 리츠 활용한 PF사업 지원… 업계 설명회 연다",경제
868,2024.04.02. 오전 11:07,TV조선,"최상목 부총리 ""물가는 하반기 갈수록 안정화될 것""",경제
869,2024.04.02. 오전 11:07,조선비즈,"외국인이 갈랐다… 코스피 반등, 코스닥 900선 깨져",경제
870,2024.04.02. 오전 11:07,이데일리,"우리기술 子 우리DS, 런플랫 타이어 설계 진행…“글로벌 수출 본격화”",경제
871,2024.04.02. 오전 11:06,경향신문,"한은 “생활물가 높은 오름세…물가, 당분간 매끄럽지 않아”",경제
872,2024.04.02. 오전 11:06,경향신문,"LH, 청년·신혼부부 대상 매입임대주택 3000호 공급",경제
873,2024.04.02. 오전 11:05,매일경제,부산항에 처음으로 크루즈선 4척 동시에 들어온다,경제
874,2024.04.02. 오전 11:05,이데일리,"씨엔알리서치, AI 의료기기 美 FDA 승인 이끌어냈다",경제
875,2024.04.02. 오전 11:04,한국경제TV,"[단독] 에어버스, 9월 한국에 방산·우주 R&D;센터 개소",경제
876,2024.04.02. 오전 11:04,이데일리,"콴텍, 창립 8주년 기념 고객 감사 이벤트 진행",경제
877,2024.04.02. 오전 11:04,조선비즈,"롯데손해보험, ‘전세사기 대응 보험’ 출시한다",경제
878,2024.04.02. 오전 11:04,동아일보,첫 돌 맞은 하이트진로 켈리… 1초에 11병 넘게 팔렸다,경제
879,2024.04.02. 오전 11:04,이데일리,"메리츠증권 ""실질실효환율 관점서 환율 1300~1333원이 균형""",경제
880,2024.04.02. 오전 11:03,이데일리,"코스피, 외국인 6거래일 연속 '사자'에 2750선 탈환",경제
881,2024.04.02. 오전 11:03,한겨레,"보험료 3만원으로 줄이고, 26만원은 투자·저축한다면… [쩐화위복]",경제
882,2024.04.02. 오전 11:03,매일경제,"신한은행, 신종자본증권 4000억원 발행…은행 최저 금리 수준",경제
883,2024.04.02. 오전 11:03,파이낸셜뉴스,20년간 이어진 '비전포럼'...현정은 현대그룹 회장의 소통경영,경제
884,2024.04.02. 오전 11:02,한국경제,"""김밥에 라면은 국룰""…전세계 'K푸드'에 빠지자 수출 날았다",경제
885,2024.04.02. 오전 11:02,파이낸셜뉴스,'금투세' 때문에 지지정당 바꾼다(?)...총선 앞두고 투자자 촉각,경제
886,2024.04.02. 오전 11:02,매일경제,19가지 이색숲·야영장 품은 대단지…생활시설·학군 다 갖춰,경제
887,2024.04.02. 오전 11:02,한국경제,"'6분 컷' 기숙학원을 아시나요…""의대 증원, 우리에겐 기회"" [인터뷰+]",경제
888,2024.04.02. 오전 11:01,조선비즈,"코빗, 리서치센터장에 김민승·최윤영 공동 센터장 선임",경제
889,2024.04.02. 오전 11:01,조선비즈,"케이블 소재 힘 주는 한화, 韓 전선 수혜 노린다",경제
890,2024.04.02. 오전 11:01,조선비즈,“중국 대신 인도” 펀드 수익률 괜찮네… 증시 고평가 우려도,경제
891,2024.04.02. 오전 11:01,조선일보,서울 아파트 분양전망 6개월 만에 ‘긍정’...지방은 하락,경제
892,2024.04.02. 오전 11:01,이데일리,"스마트팜·농기계, 3일부터 무역보험 우대",경제
893,2024.04.02. 오전 11:01,경향신문,건설공사 계약 18.9% 줄며 6년 만에 역성장,경제
894,2024.04.02. 오전 11:01,파이낸셜뉴스,지난해 4분기 건설공사 계약액 전년대비 7.9%↑,경제
895,2024.04.02. 오전 11:01,이데일리,EU 탄소규제에 中企 대응 어떻게…정부 통합지원 나선다,경제
896,2024.04.02. 오전 11:01,조선비즈,"아파트 분양 전망지수, 8개월 연속 기준선 밑돌아… “분양시장 양극화 심화”",경제
897,2024.04.02. 오전 11:01,이데일리,"해수부, 봄철 성어기 맞아 4월 중국 불법어업 집중 단속",경제
898,2024.04.02. 오전 11:01,한국경제TV,"LG엔솔·GM 합작 '얼티엄셀즈' 2공장, 본격 가동",경제
899,2024.04.02. 오전 11:00,한국경제TV,"이훈기 롯데케미칼 사장, 취임 후 첫 현장 경영…""안전·수익성 강화""",경제
900,2024.04.02. 오전 11:00,이데일리,코오롱그룹 드림팩(Dream Pack) 기부천사 캠페인 진행,경제
901,2024.04.02. 오전 11:00,파이낸셜뉴스,"앉아서 3억 번다...로또 '줍줍' 또 역대급 경쟁률, 5000명 몰려",경제
902,2024.04.02. 오전 10:58,파이낸셜뉴스,"DL이앤씨, '건물용 전기차 화재진압 시스템' 개발…세계 최초",경제
903,2024.04.02. 오전 10:58,이데일리,"엔젠바이오, 최대주주 젠큐릭스와 최대출 대표 외 9인 간 주식 양수도 계약",경제
904,2024.04.02. 오전 10:58,경향신문,지배구조 우수기업에 ‘지정 감사’ 면제…“지배구조 개선에 역행”,경제
905,2024.04.02. 오전 10:58,한경비즈니스,"삼성엔지, 올해 15조 신규 수주 가능…하반기 주가 상승 UP",경제
906,2024.04.02. 오전 10:58,이데일리,'요지부동' 사과·배에 유가까지 가세…두달 연속 3%대 '고물가'(종합),경제
907,2024.04.02. 오전 10:57,한국경제,"""땡큐 마이크론""…삼성전자, 3년 만에 8만4000원 돌파",경제
908,2024.04.02. 오전 10:57,파이낸셜뉴스,"스타벅스, 커피와 찰떡궁합 미니 디저트 '까눌레' 출시",경제
909,2024.04.02. 오전 10:56,한경비즈니스,‘전세사기·깡통전세 두렵다면…’ 이 보험 들어라,경제
910,2024.04.02. 오전 10:55,한국경제TV,"한 달만에 1.5만대…SK매직, '초소형 직수 정수기' 돌풍",경제
911,2024.04.02. 오전 10:55,한국경제TV,"檢, '민주노총 탈퇴 강요 의혹' 허영인 SPC 회장 체포",경제
912,2024.04.02. 오전 10:55,파이낸셜뉴스,"[fn마켓워치]이지스·마스턴, 금감원 고위 인사 영입",경제
913,2024.04.02. 오전 10:55,파이낸셜뉴스,강남학부모들에 입소문난 '맛있는 찬' 롯데백화점 잠실점에도 생긴다,경제
914,2024.04.02. 오전 10:55,파이낸셜뉴스,"LH, 청년·신혼·신생아 매입임대주택 3000여가구 공급",경제
915,2024.04.02. 오전 10:55,파이낸셜뉴스,"'손쉽게 TV 옮긴다'…삼성전자, 43형 모니터용 무빙 스탠드 출시",경제
916,2024.04.02. 오전 10:55,파이낸셜뉴스,"11번가, 뷰티 구매고객 혜택 강화한다...뷰티라운지 오픈",경제
917,2024.04.02. 오전 10:55,한국경제,[모십니다] 한경MOOK 'MBTI 투자법' 저자와 함께 하는 북콘서트,경제
918,2024.04.02. 오전 10:55,파이낸셜뉴스,컬리에서 와인 주문하고 CU 편의점에서 찾는다,경제
919,2024.04.02. 오전 10:55,한국경제,"""1초에 11.5병씩""…1년 만에 3억개 넘게 팔린 '손석구 맥주'",경제
920,2024.04.02. 오전 10:55,파이낸셜뉴스,"팔도, 한돈자조금관리위원회와 손잡고 국내산 돼지고기 소비촉진 나선다",경제
921,2024.04.02. 오전 10:55,매일경제,"로크웰 오토메이션 “주요 제조기업 83%, 올해 생성형 AI 도입 예정”",IT
922,2024.04.02. 오전 10:55,이데일리,"싸이버원, 68억원 EBS 웹서비스 클라우드 운영 계약 체결",경제
923,2024.04.02. 오전 10:54,파이낸셜뉴스,"롯데면세점, 명동쇼룸 '나우인명동'으로 변경...""명동 랜드마크 될 것""",경제
924,2024.04.02. 오전 10:54,파이낸셜뉴스,"현대홈쇼핑, 트렌드 겨냥한 단독 브랜드 잘 나가네...매출 86%↑",경제
925,2024.04.02. 오전 10:54,파이낸셜뉴스,"동원그룹, 자체 AI 플랫폼 '동원GPT' 도입.. '데이터 중심 기업' 목표",경제
926,2024.04.02. 오전 10:54,조선일보,"중소마트들, 롯데카드 보이콧 돌입… “카드 수수료 내려달라”",경제
927,2024.04.02. 오전 10:54,한국경제,"한화오션, LNG운반선 4척 1.2조원에 수주 [주목 e공시]",경제
928,2024.04.02. 오전 10:54,파이낸셜뉴스,"맥도날드, 사회공헌 상징 ‘행복의 버거’ 디지털 영상 공개",경제
929,2024.04.02. 오전 10:54,파이낸셜뉴스,"롯데홈쇼핑, 11일간의 쇼핑 축제 '롯쇼페' 연다",경제
930,2024.04.02. 오전 10:53,한국경제TV,용산국제업무지구 '구역지정 요청' 완료…상반기 지정,경제
931,2024.04.02. 오전 10:53,한국경제TV,"서울시, 지주택 사업 허가 강화…조합원에 정보 공개 확대",경제
932,2024.04.02. 오전 10:53,매일경제,코어라인소프트 ‘에이뷰 CAC’ 美 FDA 시판 전 허가,경제
933,2024.04.02. 오전 10:52,파이낸셜뉴스,"코웨이, 파트너사와 '동반성장 데이' 열어",경제
934,2024.04.02. 오전 10:52,조선비즈,"큐브바이오, 대만 제약그룹과 200억원 암 진단 제품 독점 수출계약",경제
935,2024.04.02. 오전 10:51,한국경제,"신나는조합, 한국씨티은행 '드림투게더 프로그램' 후원 협약",경제
936,2024.04.02. 오전 10:50,이데일리,"브릭메이트, 아모스아인스가구와 ‘스마트 물류 시공 관리 시스템’ 개발 협력",경제
937,2024.04.02. 오전 10:50,이데일리,"현대그룹, '비전포럼' 20년째 개최..현정은 ""소양이 경쟁력""",경제
938,2024.04.02. 오전 10:49,한국경제TV,"에이아이트릭스-고대안암병원, 의료 AI 공동 연구 협약",경제
939,2024.04.02. 오전 10:49,한국경제TV,"코어라인소프트 'AVIEW CAC', 美FDA서 의료기기 인증",경제
940,2024.04.02. 오전 10:49,매일경제,"KETI, AI 자율제조 분야 다자협력 이끈다",경제
941,2024.04.02. 오전 10:49,조선비즈,"'술 마실 때 물은 충분하게'... 페르노리카코리아, 책임음주 캠페인 마무리",경제
942,2024.04.02. 오전 10:48,한국경제TV,"'출시 1년' 켈리, 누적 3.6억병 팔려",경제
943,2024.04.02. 오전 10:48,한국경제TV,"쿠팡이츠, 요기요 제쳤다...배달앱 2위 등극",경제
944,2024.04.02. 오전 10:47,한국경제TV,"정용진 회장, 신세계건설 대표 경질...쇄신 인사 단행",경제
945,2024.04.02. 오전 10:47,한국경제TV,"대웅제약, '에너씨슬 퍼펙트샷 X 와다다곰' 콜라보 한정판 출시",경제
946,2024.04.02. 오전 10:47,파이낸셜뉴스,"[fn마켓워치] BBB급 전락한 효성화학, 공모채 도전",경제
947,2024.04.02. 오전 10:46,한국경제TV,"강스템바이오텍, 아토피 치료제 '퓨어스템-에이디주' 치료목적 사용승인",경제
948,2024.04.02. 오전 10:46,한국경제TV,"유유제약, 비뇨기질환 치료제 필리핀·미얀마 품목허가 취득",경제
949,2024.04.02. 오전 10:46,파이낸셜뉴스,"테슬라, 2분기 첫날 미·중 시장에서 신차 가격 올려",경제
950,2024.04.02. 오전 10:46,파이낸셜뉴스,[특징주] ‘9만 전자’ 향한 상승랠리..삼성 52주 신고가 경신,경제
951,2024.04.02. 오전 10:46,매일경제,"롯데건설, 다양한 생활기반시설 갖춘 복합주거단지 ‘검단신도시 롯데캐슬 넥스티엘 Ⅰ·Ⅱ·Ⅲ’ 공급",경제
952,2024.04.02. 오전 10:44,한국경제TV,"최상목 ""3월 물가 정점…이달 농축산물 유통개선안 발표""",경제
953,2024.04.02. 오전 10:44,한국경제TV,"한은 ""물가 전망 불확실성 여전..기대인플레이션 상승""",경제
954,2024.04.02. 오전 10:44,한국경제TV,"삼성화재 다이렉트 착, 1만원대 이하 '착한펫보험' 출시",경제
955,2024.04.02. 오전 10:44,한국경제TV,"삼성카드, '수수료 면제' 해외특화카드 출시",경제
956,2024.04.02. 오전 10:44,한국경제TV,사과 88.2%·배 87.8% 폭등...소비자물가 두달째 3%,경제
957,2024.04.02. 오전 10:44,한국경제TV,"KB손보 ""차세대 시스템 맞춤형 보험 서비스""",경제
958,2024.04.02. 오전 10:44,한국경제TV,"""치매 보험료 1년 유예""…흥국화재, 민생안정특약 선봬",경제
959,2024.04.02. 오전 10:44,이데일리,[인사]ABL생명,경제
960,2024.04.02. 오전 10:44,한경비즈니스,"합참 ""북한, 동해상으로 탄도미사일 발사""",경제
961,2024.04.02. 오전 10:44,한국경제TV,"월가 차트분석 달인의 시나리오...""이 지점이 승부처""",경제
962,2024.04.02. 오전 10:43,경향신문,"‘무제한 무료 배달’ 시작한 ‘쿠팡이츠’, 처음으로 ‘요기요’ 제쳤다",경제
963,2024.04.02. 오전 10:42,한국경제,"""입원 중"" 소환 수차례 불응…허영인 SPC 회장, 병원서 '체포' [종합]",경제
964,2024.04.02. 오전 10:42,매일경제,"정부의 ‘혁명적 변화 지원’에 들썩이는 서대구, 최중심 수혜 단지 ‘힐스테이트 서대구역 센트럴’ 주목",경제
965,2024.04.02. 오전 10:41,TV조선,"IBK기업은행, 694억원 규모 '민생금융지원방안 자율프로그램' 시행",경제
966,2024.04.02. 오전 10:41,TV조선,"KB증권, 2024년 1분기 리테일채권 판매액 4.3조원 돌파!",경제
967,2024.04.02. 오전 10:40,한경비즈니스,“결혼 아무나 못해요”...고물가에 '웨딩 비용'만 6000만원 넘어,경제
968,2024.04.02. 오전 10:40,한국경제TV,"미래에셋운용, 비만치료제 ETF 첫 월 배당금 지급 이벤트",경제
969,2024.04.02. 오전 10:39,조선일보,대기업 최고연봉자-직원 평균 연봉 격차 더 벌어졌다,경제
970,2024.04.02. 오전 10:39,한국경제,"한국씨티은행, 청년 자립 위해 2억3800만원 기부",경제
971,2024.04.02. 오전 10:38,동아일보,"[이호 기자의 마켓ON]BBB급 효성화학·A급 SK어드밴스드, 회사채 발행",경제
972,2024.04.02. 오전 10:38,이데일리,"아미코젠 ‘피니톨’, ‘PTSD 치료 잠재성’ 연구 결과 발표",경제
973,2024.04.02. 오전 10:37,한국경제TV,"""2분기 더 좋다""…中 아니어도 좋은 화장품주 [백브리핑]",경제
974,2024.04.02. 오전 10:34,파이낸셜뉴스,"'무료 배달' 시대 돌아오나…쿠팡이츠가 쏘아올린 공, 배민도 '덥썩'",경제
975,2024.04.02. 오전 10:34,조선비즈,"한화오션, 카타르서 LNG선 4척 추가 수주… 1조2400억원 규모",경제
976,2024.04.02. 오전 10:33,파이낸셜뉴스,"천년고도 경주에 에이스침대, 체험형 매장",경제
977,2024.04.02. 오전 10:33,조선일보,외국인직접투자(FDI) 역대 1분기 중 최대 기록...제조업은 지난해 2배로 뛰어,경제
978,2024.04.02. 오전 10:33,이데일리,"대신증권, 신규고객에 연 7% 수익률 RP 특판",경제
979,2024.04.02. 오전 10:32,조선비즈,"한은 “물가, 유가·농산물값 따라 매끄럽지 않을 것”",경제
980,2024.04.02. 오전 10:32,매일경제,수원 전세가 상승세 지속…‘이럴 바엔 내 집 마련’ 나선다,경제
981,2024.04.02. 오전 10:32,파이낸셜뉴스,"베이비몬스터 ""빌보드 1위, 코첼라 무대 꿈꿔요""[인터뷰]",생활
982,2024.04.02. 오전 10:32,조선비즈,[종이도 자원] “재활용 주도 골판지 산업 무너지면 쓰레기 대란 온다”,경제
983,2024.04.02. 오전 10:31,한국경제,"[한경유레카 특징주] 레고켐바이오, 주식양도 목적 장외매도",경제
984,2024.04.02. 오전 10:31,이데일리,‘반등 칼 뺀’ 유틸렉스 “M&A;로 정밀의료 대열 합류”,IT
985,2024.04.02. 오전 10:30,한국경제TV,보안 스타트업 '루브릭' 美 증시 IPO 신청,경제
986,2024.04.02. 오전 10:30,한국경제TV,"알체라, 2023년말 기준 수주잔고 103억원 규모…""역대 최고""",경제
987,2024.04.02. 오전 10:30,매일경제,"“세금 중과 때 주택 개수보다 총액”…국민 열에 일곱, 부동산세 부담감",경제
988,2024.04.02. 오전 10:30,파이낸셜뉴스,저소득층 아이들에 학용품 선물한 코오롱그룹,경제
989,2024.04.02. 오전 10:30,이데일리,"올라운드코퍼레이션, ‘굿모닝굿나잇’ 배민 입점…유통 채널 확대",경제
990,2024.04.02. 오전 10:30,매일경제,"메리츠금융, 금융지주 시총 3위 재탈환",경제
991,2024.04.02. 오전 10:30,한국경제,"신한은행, 최고 연 5% '신한 청년도약플러스적금' 출시",경제
992,2024.04.02. 오전 10:30,조선일보,중동 지역 긴장에...국제 유가 5개월 만에 최고치,경제
993,2024.04.02. 오전 10:30,한경비즈니스,"건보재정 갉아먹는 얌체 외국인 아웃, 입국 6개월 후 피부양자 자격",경제
994,2024.04.02. 오전 10:30,이데일리,"KCGI자산운용, 공모주하이일드펀드 출시",경제
995,2024.04.02. 오전 10:29,매일경제,"롯데건설, 식목일 기념 임직원 텃밭 조성 봉사활동",경제
996,2024.04.02. 오전 10:29,매일경제,"대신證, 신규고객에 연 7% 수익률 RP 특판",경제
997,2024.04.02. 오전 10:28,매일경제,“내 월급의 몇배야”…‘신의 직장’보다 더주는 ‘이 회사’ 연봉 얼마길래,경제
998,2024.04.02. 오전 10:28,매일경제,"대신증권, 신규고객에 연 7% 수익률 RP 특판",경제
999,2024.04.02. 오전 10:28,파이낸셜뉴스,‘TIGER 글로벌비만치료제TOP2Plus’ 첫 월배당금 지급 기념 이벤트 진행,경제
1000,2024.04.02. 오전 10:27,조선일보,"美 마이크론발 훈풍에, 삼성전자 SK하이닉스 동반 강세",경제
1001,2024.04.02. 오전 10:27,이데일리,"한화오션, 1.3조 규모 LNG운반선 4척 추가 수주",경제
1002,2024.04.02. 오전 10:27,한국경제,밸류업 인센티브 세진다…지배구조 우수기업에 '감사인 지정' 면제,경제
1003,2024.04.02. 오전 10:27,경향신문,10년간 양육비 1억 미지급 ‘나쁜 아빠’ 3개월 실형에…검찰 “형량 낮다” 항소,경제
1004,2024.04.02. 오전 10:27,매일경제,“맥 7 가고 팹 4 왔다”…천덕꾸러기 된 알파벳·애플·테슬라,경제
1005,2024.04.02. 오전 10:27,한국경제,"강스템바이오텍, 아토피 줄기세포 치료제 치료목적 사용승인 받아",IT
1006,2024.04.02. 오전 10:25,경향신문,LG엔솔·GM 합작 2공장 본격 가동…“북미 전기차 시장 핵심 기지”,경제
1007,2024.04.02. 오전 10:25,매일경제,"신한운용, 美대표지수 펀드 수탁고 500억원 돌파",경제
1008,2024.04.02. 오전 10:24,파이낸셜뉴스,"[fn오전시황] 코스피, 기관 vs 외국인 힘겨루기에 보합",경제
1009,2024.04.02. 오전 10:24,이데일리,팝콘앤키키 라이프스타일 브랜드 삭피엔스 ‘iF 디자인 어워드 2024’서 본상,경제
1010,2024.04.02. 오전 10:23,매일경제,“스벅에 새 디저트 먹으러 줄서야겠네”...하루 50개 한정판매한다는 ‘이것’,생활
1011,2024.04.02. 오전 10:23,파이낸셜뉴스,"HLB그룹 계열사, 'AACR'서 연구성과 발표 잇따라",경제
1012,2024.04.02. 오전 10:23,매일경제,롯데홈쇼핑에서 쇼핑하고 샤넬·디올 경품 추첨까지,경제
1013,2024.04.02. 오전 10:23,한국경제TV,"삼성전자, 8만4천원 돌파 '신고가'...美 반도체주 강세 영향 [권영훈의 증시뉴스 PICK]",경제
1014,2024.04.02. 오전 10:23,매일경제,“8년동안 가격 안올렸대”…퇴근하면 맞벌이 부부 ‘이곳’ 달려가겠네,경제
1015,2024.04.02. 오전 10:22,파이낸셜뉴스,"""기본급 7.1% 올려달라""...대한항공, 임단협 시작",경제
1016,2024.04.02. 오전 10:22,이데일리,"구로다 전 BOJ 총재 ""달러·엔 환율, 중장기적으로 130엔대 간다""",경제
1017,2024.04.02. 오전 10:21,파이낸셜뉴스,"‘송도자이풍경채 그라노블’ 오피스텔 완판, 아파트 정당계약 돌입",경제
1018,2024.04.02. 오전 10:21,파이낸셜뉴스,"""너무 예쁜데""…삼성SDS '인기 1위' 찍은 그 직원",경제
1019,2024.04.02. 오전 10:21,이데일리,"유유제약, 비뇨기질환 치료제 필리핀·미얀마 품목허가",IT
1020,2024.04.02. 오전 10:21,파이낸셜뉴스,"이우성 SGC에너지 대표 ""우수한 인재 맞이해 기쁘다""",경제
1021,2024.04.02. 오전 10:21,경향신문,"SKT, 산불 진화 긴급 통신망 구축…‘스타링크’ 활용",경제
1022,2024.04.02. 오전 10:21,이데일리,"금호건설, 대웅제약 연구소 신축 공사 수주..민간 건축으로 외연확장",경제
1023,2024.04.02. 오전 10:21,파이낸셜뉴스,"한투證, 글로벌 TPG 안젤로고든과 부동산투자 협업",경제
1024,2024.04.02. 오전 10:20,이데일리,"""마이크론 주가 20% 더 오른다""…목표가 높이자 사상 최고치",경제
1025,2024.04.02. 오전 10:19,한국경제TV,"한국투자증권, TPG 안젤로고든과 부동산투자 '맞손'",경제
1026,2024.04.02. 오전 10:19,이데일리,"천장 없는 금값, 또 사상 최고치 경신",경제
1027,2024.04.02. 오전 10:19,파이낸셜뉴스,"최상목 ""3월 연간 물가 정점...농축산물 유통구조 개선 방안 발표""",경제
1028,2024.04.02. 오전 10:18,한국경제,"에스씨엠생명과학 ""허위 정보로 인한 주주 피해 취합해 소송""",IT
1029,2024.04.02. 오전 10:18,이데일리,"GS리테일, 中企 대상 ‘해외진출 상담회’ 개최",경제
1030,2024.04.02. 오전 10:18,경향신문,애플워치 닮은 ‘갤럭시 핏3’ 3일 출시…‘낙상 감지’까지 지원,경제
1031,2024.04.02. 오전 10:16,매일경제,기업용 SSD 품귀 소식에...엑시콘 20% 이상 상승,경제
1032,2024.04.02. 오전 10:15,매일경제,베트남 펀드는 한투운용...수익률 1위,경제
1033,2024.04.02. 오전 10:15,매일경제,"AI 자동투자 콴텍, 창립 8주년 환경정화 봉사활동",경제
1034,2024.04.02. 오전 10:14,한국경제TV,총선 D-8…밸류업 수혜주 향방은 [백브리핑],경제
1035,2024.04.02. 오전 10:14,한국경제,'일광 노르웨이숲 오션포레'에서 패밀리쉽 서비스 론칭,경제
1036,2024.04.02. 오전 10:14,한국경제,"한은 ""물가 목표 수렴? 추이 좀 더 지켜봐야""",경제
1037,2024.04.02. 오전 10:14,매일경제,"KB증권, 1분기 리테일채권 판매액 4.3조원 돌파",경제
1038,2024.04.02. 오전 10:14,이데일리,"G마켓, 삼성 14인용 식기세척기 신제품 최저가 판매",경제
1039,2024.04.02. 오전 10:13,한국경제TV,"유진투자證, '한마음 걷기 챌린지' 진행…""사회적 가치 실현""",경제
1040,2024.04.02. 오전 10:13,매일경제,"SK이터닉스, 분할 뒤 3거래일 연속 상한가",경제
1041,2024.04.02. 오전 10:12,한국경제TV,"""국민주 삼성전자는 오르는데""...카카오는 '울상'",경제
1042,2024.04.02. 오전 10:12,조선일보,LG엔솔·GM 美합작 2공장 본격 생산…첫 배터리 공급,경제
1043,2024.04.02. 오전 10:12,조선일보,"DL이앤씨, 주차장 전기차 화재 10분 내 진압 시스템 개발",경제
1044,2024.04.02. 오전 10:12,한국경제,"NEW-펀더풀, K콘텐츠 투자 활성화 위해 '맞손'",경제
1045,2024.04.02. 오전 10:11,한국경제TV,"""극도로 저평가된 상태""…분할하자 '上上上'",경제
1046,2024.04.02. 오전 10:11,파이낸셜뉴스,"BNK부산은행, 신학기 ‘찾아가는 캠퍼스 투어’",경제
1047,2024.04.02. 오전 10:11,파이낸셜뉴스,"""25년 연속 1위""...위니아 '딤채 파워 세일 행사' 실시",경제
1048,2024.04.02. 오전 10:11,조선비즈,"최태원 “故조석래 회장, 경제계 선구자… 시대 앞서간 기업인”",경제
1049,2024.04.02. 오전 10:11,이데일리,"갤럭시아머니트리, ‘STO 전문’ 신년기 상무 영입",경제
1050,2024.04.02. 오전 10:10,이데일리,"기업은행, 694억 규모 '민생금융지원방안 자율프로그램' 시행",경제
1051,2024.04.02. 오전 10:09,한겨레,세븐일레븐 ‘천원 맥주’ 행사…고물가 시대 ‘최저가’ 도전,경제
1052,2024.04.02. 오전 10:09,한경비즈니스,"하나은행, 'AI 해외송금 예측' 서비스 본격 시행",경제
1053,2024.04.02. 오전 10:08,한국경제TV,잘 나가고 있었는데…바이오 개미들 '비명',경제
