,Unnamed: 0,날짜,신문사,제목,분야
12,12,2024.10.05. 오후 6:46,매일경제,“나무에서 기름을 뽑는다고? 일단 심어”…무럭무럭 자란다는 식물계의 반도체 [떴다 상사맨],경제
13,13,2024.10.05. 오후 6:31,한경비즈니스,“소비자가 봉이냐”...아시아나·제주항공 조치에 ‘폭발’한 여행객들,경제
14,14,2024.10.05. 오후 6:15,한경비즈니스,"""어쩐지 맛이""...국산으로 둔갑한 '중국산 김치'",경제
15,15,2024.10.05. 오후 6:01,한국경제,"""이제 해외여행 좀 가볼까 했는데""…분노 터졌다",경제
16,16,2024.10.05. 오후 5:46,매일경제,“장례비까지 지원할 줄 몰랐네”…질환치료·보장범위 확 늘리는 ○○○,경제
17,17,2024.10.05. 오후 5:22,TV조선,"환율, 美 9월 고용 '깜짝 증가'에 급등…1350원 위협",경제
18,18,2024.10.05. 오후 5:20,TV조선,'먹거리 인플레' 9월 세계 식량가격 3% 상승…설탕값은 10% '껑충',경제
19,19,2024.10.05. 오후 5:08,한경비즈니스,"""한 끼 3000원이 말이 돼?""...교도소 보다 못한 ‘소방관’ 급식",경제
20,20,2024.10.05. 오후 4:53,한경비즈니스,밈코인은 ‘내부자들만 돈 버는 시장’에 대한 반란이다[비트코인 AtoZ],경제
21,21,2024.10.05. 오후 4:53,매일경제,"“치맥하며 보려했는데”…배달앱 3사, 불꽃놀이 행사 지역 서비스 일시중지",경제
22,22,2024.10.05. 오후 4:52,이데일리,[부고]조창용(여신금융협회 대외협력부장)씨 모친상,경제
23,23,2024.10.05. 오후 4:49,한경비즈니스,“한국 로또 1등 보다 비싼 야구공”...오타니 홈런볼 충격적인 ‘가격’,경제
24,24,2024.10.05. 오후 4:34,이데일리,9월 세계 식량가격 3%↑…설탕 부족 우려에 설탕값 10% 급증[食세계],경제
25,25,2024.10.05. 오후 4:16,파이낸셜뉴스,"럼피스킨 '빨간불'…정부 ""엄중한 상황, 추가 접종""",경제
26,26,2024.10.05. 오후 4:14,TV조선,"IAEA, 日 오염수방류 환경평가 모니터링…""韓·中 전문가 참여""",경제
27,27,2024.10.05. 오후 4:10,조선일보,"배달앱 3사, 세계불꽃축제 열리는 여의도 등 배달 서비스 제한",경제
28,28,2024.10.05. 오후 4:06,한국경제,"""전통시장 화재, 정책보험 도입으로 피해 최소화해야""",경제
29,29,2024.10.05. 오후 4:04,TV조선,"배달앱 3사, 불꽃축제 열리는 여의도 등 배달 제한",경제
30,30,2024.10.05. 오후 4:03,파이낸셜뉴스,"배달앱 3사, '불꽃축제' 여의도 등 배달 서비스 제한",경제
31,31,2024.10.05. 오후 4:02,TV조선,9월 세계 식량가격 3% 상승…설탕값 10.4% 올라,경제
32,32,2024.10.05. 오후 4:02,TV조선,"농식품부 ""배추 생육관리 점검""…농협·도매법인, 약제비 11억 지원",경제
33,33,2024.10.05. 오후 3:38,한국경제,"""거긴 배달 못한다""…배달앱 3사, 서비스 중단하기로 한 동네",경제
0,0,2024.10.06. 오후 9:52,매일경제,"“트랜스포머를 통째로 옮겨놨네”…8m짜리 인증샷 성지, 대체 어디?",사회
1,1,2024.10.06. 오후 9:30,매일경제,“김과장은 달러로 용돈 받는대”…미국이 돈 풀 때 주목할 ETF 있다는데,경제
2,2,2024.10.06. 오후 9:19,경향신문,하나금융 ‘소상공인 행복상자’ 봉사활동[포토뉴스],경제
